name,code,males,females,u18,adult,over64,male0,male1,male2,male3,male4,male5,male6,male7,male8,male9,male10,male11,male12,male13,male14,male15,male16,male17,male18,female0,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18
Maidstone,E07000110,78593,80732,34542,95464,29319,5229,4913,4725,4849,4442,4898,5001,4665,5713,6128,5568,4712,4434,4762,3188,2480,1709,811,366,4817,4577,4451,4449,4192,5021,5192,4989,5910,6166,5417,4829,4719,4797,3493,2901,2338,1483,991
Sevenoaks,E07000111,56787,60248,25809,67591,23635,3730,3752,3531,3389,2639,2835,3027,3469,3946,4519,4207,3586,3502,3685,2409,1986,1503,778,294,3537,3605,3385,3438,2657,2710,3234,3741,4372,4823,4211,3711,3844,3873,2746,2360,1941,1221,839
Shepway,E07000112,53746,55086,21563,62590,24679,3056,3007,3007,3317,3077,3031,2910,2833,3642,4011,3799,3276,3498,3943,2624,2048,1484,754,429,2902,2783,2842,3100,2890,2753,2932,2809,3645,4020,3735,3532,3746,3957,2851,2297,1881,1427,984
Swale,E07000113,68842,70329,31583,82375,25213,4644,4499,4218,4608,4165,4007,4055,3826,4693,5330,4854,4363,4045,4277,2855,2117,1344,687,255,4404,4141,4084,4281,3778,4126,4388,4005,4932,5381,4809,4146,4176,4471,2998,2390,1900,1174,745
Thanet,E07000114,65914,70852,29614,76616,30536,4363,4084,4165,4556,3975,3476,3435,3239,4036,4490,4431,4035,4202,4562,3184,2468,1757,1004,452,4006,3833,3705,4167,3767,3960,3920,3559,4493,4832,4692,4327,4482,4972,3580,2999,2533,1758,1267
Tonbridge and Malling,E07000115,60245,62756,28640,72016,22345,3894,4122,4023,4331,2968,2983,3086,3580,4731,4911,4482,3687,3360,3413,2416,2012,1313,652,281,3559,3841,3946,3947,3044,3061,3494,4008,5003,5082,4479,3648,3386,3746,2750,2287,1759,1049,667
Tunbridge Wells,E07000116,56873,58820,26670,68293,20730,3610,3850,3631,3589,2486,3353,3673,3707,4526,4793,4026,3352,3012,3150,2155,1614,1304,692,350,3490,3551,3718,3832,2530,3092,3477,3678,4438,4647,4148,3471,3283,3274,2316,2007,1733,1238,897
Oxfordshire,E10000025,330540,335542,140224,413432,112426,21414,19723,18495,21258,25493,23599,23305,20984,22953,24268,22018,18611,17382,16828,12067,9864,6895,3664,1719,20278,19422,17851,19917,22588,22169,22919,21016,23944,24627,22499,18895,18028,17845,13423,10992,8793,6047,4289
Cherwell,E07000177,71046,72613,32074,87722,23863,4980,4577,4070,4145,3848,4780,5120,4619,5226,5604,5041,4223,3890,3684,2574,2169,1477,701,318,4644,4478,4134,4105,3403,4652,5073,4793,5528,5616,5081,4127,4039,3760,2896,2354,1862,1233,835
Oxford,E07000178,77679,77094,29396,107972,17405,4884,4196,3757,5829,12341,8007,7073,5266,4427,4490,3699,3155,2870,2461,1760,1437,1120,598,309,4718,4064,3433,5905,11193,7783,6746,4775,4458,4255,3801,3275,2968,2602,2109,1731,1406,1056,816
South Oxfordshire,E07000179,66950,69065,29538,79922,26555,4251,4120,3945,4178,3342,3806,3864,4020,4964,5361,5023,4185,3838,4001,2846,2350,1589,865,402,3958,4152,3995,3673,2854,3307,3927,4357,5304,5687,5027,4281,4041,4320,3216,2608,1988,1388,982
Vale of White Horse,E07000180,61553,62093,26660,73356,23630,3874,3676,3769,4076,3022,3667,3801,3892,4366,4704,4366,3782,3707,3582,2563,2096,1469,779,362,3692,3654,3323,3376,2724,3428,3860,3801,4572,4707,4623,3885,3669,3735,2735,2329,1873,1236,871
West Oxfordshire,E07000181,53312,54677,22556,64460,20973,3425,3154,2954,3030,2940,3339,3447,3187,3970,4109,3889,3266,3077,3100,2324,1812,1240,721,328,3266,3074,2966,2858,2414,2999,3313,3290,4082,4362,3967,3327,3311,3428,2467,1970,1664,1134,785
Surrey,E10000030,565149,586965,252270,691150,208694,37617,36379,33974,34835,31374,30851,34256,38487,42843,44779,41079,34256,30733,30738,21274,17726,13062,7358,3528,35795,34614,32396,32638,31279,30545,36967,40084,44043,45628,41457,34185,32326,32465,23905,20837,17356,11956,8489
Elmbridge,E07000207,63854,68325,32429,76776,22974,5022,4780,4378,3763,2276,2570,3480,4791,5327,5457,4781,3753,3377,3265,2164,1921,1424,879,446,4904,4501,3978,3507,2268,2782,4284,5312,5670,5589,5082,3818,3755,3583,2634,2298,1900,1393,1067
Epsom and Ewell,E07000208,37392,39739,17244,46354,13533,2479,2401,2322,2351,1962,2002,2283,2646,2852,3047,2722,2155,2060,1995,1430,1107,844,487,247,2469,2294,2337,2405,2178,2045,2546,2667,3036,3074,2779,2223,2263,2168,1593,1352,1086,748,476
Guildford,E07000209,70285,70724,28567,89471,22971,4398,4154,3838,4477,6479,5136,4679,4716,4948,4999,4500,4057,3490,3545,2300,1939,1453,814,363,3953,4020,3628,4256,6195,4570,4605,4553,4959,5109,4687,3973,3659,3574,2580,2319,1853,1292,939
Mole Valley,E07000210,42157,44152,18108,49157,19044,2447,2491,2561,2752,1764,1914,1970,2390,3020,3529,3323,2807,2600,2768,1929,1631,1252,694,315,2284,2399,2570,2425,1808,1845,2135,2689,3179,3528,3322,2859,2654,2982,2192,1901,1568,1098,714
Reigate and Banstead,E07000211,69073,72000,31397,85063,24613,4836,4474,4081,3963,3475,3965,4603,5070,5202,5651,5033,4126,3652,3684,2411,2025,1494,879,449,4645,4313,4096,3744,3261,4071,5059,5178,5390,5562,4957,4066,3987,3845,2732,2335,2097,1529,1133
Runnymede,E07000212,40739,42709,16096,53074,14278,2571,2376,2056,2484,3870,2449,2558,2754,2887,3019,2865,2381,2053,2081,1493,1223,914,452,253,2433,2191,1999,2690,4415,2434,2565,2807,3025,3055,2832,2308,2093,2128,1616,1490,1241,832,555
Spelthorne,E07000213,48148,49308,20206,59645,17605,3232,2959,2565,2850,2554,2862,3317,3330,3582,3735,3749,2832,2623,2499,1844,1589,1128,621,277,3033,2693,2445,2552,2530,2926,3612,3365,3693,3889,3504,2818,2601,2616,2097,1837,1525,942,630
Surrey Heath,E07000214,43211,43693,19091,52122,15691,2643,2732,2762,2692,2114,2325,2584,2639,3553,3574,3273,2746,2381,2365,1780,1407,965,470,206,2482,2596,2590,2427,1963,2186,2540,2876,3436,3654,3284,2729,2432,2485,1826,1649,1261,762,515
Tandridge,E07000215,41080,43532,18360,49607,16645,2526,2518,2518,2568,2005,2112,2241,2398,2893,3411,3171,2745,2483,2556,1713,1355,999,605,263,2402,2533,2504,2564,1942,2084,2482,2617,3197,3519,3190,2729,2615,2753,1936,1525,1349,935,656
Waverley,E07000216,59909,62517,27800,69097,25529,3666,4083,4000,4298,2814,2530,2773,3582,4677,4647,4301,3723,3444,3649,2594,2142,1623,910,453,3626,3804,3565,3562,2527,2476,3170,4085,4665,4890,4435,3837,3717,3902,2945,2552,2082,1509,1168
Woking,E07000217,49301,50266,22972,60784,15811,3797,3411,2893,2637,2061,2986,3768,4171,3902,3710,3361,2931,2570,2331,1616,1387,966,547,256,3564,3270,2684,2506,2192,3126,3969,3935,3793,3759,3385,2825,2550,2429,1754,1579,1394,916,636
West Sussex,E10000032,398169,423187,167524,474557,179275,24817,23979,23029,24128,20473,21374,23240,23118,28117,30662,28196,24552,23658,25204,18129,14911,11189,6371,3022,23020,22462,21489,22182,19956,21906,24818,24828,29496,31699,29344,25944,25594,27839,20495,18247,15533,10730,7605
Adur,E07000223,30211,32294,12517,35705,14283,1969,1752,1638,1920,1417,1544,1675,1795,2178,2384,2051,1839,1805,2004,1454,1148,877,510,251,1817,1621,1516,1627,1434,1622,1895,1922,2321,2324,2164,1976,2016,2257,1692,1501,1242,828,519
Arun,E07000224,73109,79709,27354,83294,42170,4182,3883,3627,4069,3875,3643,3672,3526,4736,5263,4826,4453,4803,5636,4342,3669,2646,1526,732,3804,3548,3587,3814,3723,3774,3842,3928,5026,5500,5232,4882,5430,6404,4925,4357,3550,2520,1863
Chichester,E07000225,55363,59938,21316,64203,29782,3023,3066,3017,3419,3374,2558,2583,2602,3400,3955,3910,3655,3629,4039,3069,2625,1852,1073,514,2760,2905,2795,3163,3135,2463,2741,2969,3686,4408,4293,3976,4034,4557,3493,3013,2552,1759,1236
Crawley,E07000226,54056,54915,25521,69269,14181,4370,3705,3202,3230,3078,4155,4953,4167,4222,3960,3523,2908,2409,2041,1357,1093,899,544,240,3987,3495,2966,2911,3203,4554,5008,4013,3952,3837,3443,3031,2508,2196,1484,1455,1477,902,493
Horsham,E07000227,64610,68268,28111,76741,28026,3711,3885,4266,4021,2933,2906,3206,3548,4526,5357,5172,4312,4155,4128,2990,2400,1754,927,413,3466,3720,3980,3836,2742,2902,3472,3917,5005,5805,5305,4484,4220,4475,3264,2805,2277,1541,1052
Mid Sussex,E07000228,69834,72932,31416,83631,27719,4348,4516,4462,4553,3132,3718,4082,4358,5285,5634,5081,4359,4062,4201,2739,2213,1750,914,427,4210,4255,4011,4152,2999,3582,4446,4681,5548,5694,5170,4467,4242,4600,3103,2654,2301,1639,1178
Worthing,E07000229,50986,55131,21289,61714,23114,3214,3172,2817,2916,2664,2850,3069,3122,3770,4109,3633,3026,2795,3155,2178,1763,1411,877,445,2976,2918,2634,2679,2720,3009,3414,3398,3958,4131,3737,3128,3144,3350,2534,2462,2134,1541,1264
SOUTH WEST,E12000009,2640378,2737217,1069434,3191800,1116361,156523,149041,145369,165338,176494,159599,156710,147749,178593,193682,183290,162557,161186,168611,119566,94312,67313,37206,17239,148759,142095,138649,157442,163475,155153,156317,150404,183689,199881,188265,169640,171334,178118,129602,108796,90175,62739,42684
Bath and North East Somerset,E06000022,88450,91647,34214,111950,33933,4931,4773,4817,6552,9389,5518,4892,4690,5882,6260,5751,5051,4740,4985,3413,2901,2117,1223,565,4522,4525,4534,6387,9260,4918,4833,4954,6018,6540,5956,5329,5142,5270,3848,3372,2905,2037,1297
Bournemouth,E06000028,94769,93964,33524,121362,33847,5606,4655,4136,5286,9019,7378,8184,6667,6651,6723,5780,4923,4659,4755,3270,2822,2185,1330,740,5482,4343,3889,5420,8699,7203,7377,5770,5839,6050,5532,4857,4758,4862,3544,3206,3108,2279,1746
"Bristol, City of",E06000023,218505,218987,90541,288925,58026,15851,12755,10697,12974,22796,21526,19944,15953,14416,13798,12054,10531,9388,8550,6189,4641,3597,1916,929,15060,12438,10520,13188,22926,20438,18590,14529,13565,13361,12257,10438,9473,8643,6689,5815,4997,3582,2478
Cornwall,E06000052,262762,278557,104218,311653,125448,14873,14196,14599,16301,15148,13376,13568,13310,16873,18899,18495,17369,18455,20272,13734,10469,7275,3896,1654,13987,13615,13749,15361,14534,13419,13984,14326,18658,20285,19553,18957,19981,21330,14605,11853,9482,6507,4371
Isles of Scilly,E06000053,1134,1117,375,1327,549,53,69,49,33,58,77,67,70,61,99,64,83,84,100,62,40,28,27,10,44,54,56,30,68,72,75,51,94,77,82,64,68,92,61,45,34,29,21
North Somerset,E06000024,100227,105908,42225,117674,46236,6261,6060,5778,5850,4636,4951,5464,5703,7276,7726,7015,6264,6453,7103,4886,3853,2689,1483,776,5865,5556,5634,5496,4703,5275,5762,5987,7368,7976,7224,6665,6951,7491,5310,4493,3703,2590,1859
Plymouth,E06000026,128530,130645,51298,163392,44485,8095,7042,6586,8782,13790,9306,8594,7097,8275,8608,8347,7363,6634,6832,4865,3748,2631,1348,587,7770,6854,6280,8331,11995,8974,8389,7145,8554,9003,8467,7320,7089,7209,5263,4603,3596,2264,1539
Poole,E06000029,73094,75915,29443,87367,32199,4436,4203,3889,4178,4002,4337,4826,4407,5193,5488,5117,4379,4232,4680,3237,2697,2025,1195,573,4041,3989,3797,4237,3582,4390,4674,4310,5101,5498,5245,4647,4612,4844,3493,3256,2886,1937,1376
South Gloucestershire,E06000025,133400,135707,56948,163948,48211,8271,8046,7506,9108,8873,8139,8298,8208,9679,10641,9685,7736,7191,7420,5374,4200,2954,1458,613,7940,7752,7243,8387,7734,8085,8394,8316,10026,10974,9424,7853,7387,7771,5906,4911,3810,2296,1498
Swindon,E06000030,106804,107233,47973,134703,31361,7601,6798,6146,6379,6031,7287,7922,7725,8760,8608,7796,6207,5288,4849,3390,2662,1933,998,424,7245,6501,5960,6190,5931,7753,7953,7362,8095,8175,7479,6125,5359,5171,3690,3088,2561,1631,964
Torbay,E06000027,63782,68293,24920,74101,33054,3573,3419,3414,3884,3396,3467,3052,2990,3989,4614,4540,4250,4364,4974,3448,2750,1945,1126,587,3486,3233,3202,3588,3218,3496,3367,3319,4277,4855,4871,4390,4767,5166,3792,3245,2625,1980,1416
Wiltshire,E06000054,237109,242525,103436,282556,93642,14668,14743,14180,14787,13614,14183,13331,13138,17071,18313,17464,14861,14160,14499,10171,8055,5502,2977,1392,13849,14040,13731,14325,10945,12557,13144,14137,18065,19094,17524,15175,14893,15199,11034,9003,7351,5034,3425
Devon,E10000008,368743,389309,141545,434907,181600,19923,19842,19954,22712,23626,19689,18559,18074,23100,26576,25795,23923,25114,27331,19374,15245,10884,6081,2941,18597,18656,18647,21499,21219,18644,19181,19189,24821,28322,27621,25975,27194,29091,20960,17394,14524,10574,7201
East Devon,E07000040,65096,69802,23911,71296,39691,3200,3338,3503,3792,3343,3074,2697,2849,3920,4498,4359,4220,4626,5343,4114,3370,2552,1508,790,2960,3076,3239,3554,2517,2647,2837,3107,4398,4894,4712,4693,5154,5960,4484,3965,3390,2480,1735
Exeter,E07000041,59736,62064,21576,80951,19273,3635,3106,2630,4079,8274,4947,4542,3702,3739,3839,3474,2932,2733,2581,1874,1576,1131,643,299,3323,2936,2554,4391,7919,4617,4402,3548,3616,3941,3532,3164,2952,2913,2259,1920,1822,1320,935
Mid Devon,E07000042,38453,40217,16637,44792,17241,2229,2379,2349,2530,1822,1899,1852,1938,2638,2843,2762,2528,2714,2784,1908,1444,1002,586,246,2234,2180,2198,2279,1748,1945,2037,2117,2773,3060,2964,2700,2711,2772,2029,1613,1343,912,602
North Devon,E07000043,45808,48017,18416,52991,22418,2593,2541,2557,2809,2512,2379,2361,2343,2938,3314,3261,2962,3070,3435,2417,1919,1335,711,351,2497,2500,2357,2620,2148,2317,2373,2384,3131,3546,3425,3214,3255,3651,2645,2100,1738,1245,871
South Hams,E07000044,40514,43336,15389,46859,21602,1987,2092,2262,2450,1977,1818,1594,1720,2363,3023,3089,2989,3245,3475,2323,1826,1250,697,334,1842,2031,2234,2177,1547,1613,1796,1997,2738,3447,3423,3276,3518,3720,2482,2032,1607,1164,692
Teignbridge,E07000045,60955,65046,23446,71056,31499,3225,3278,3457,3633,2902,2969,2877,2918,3884,4677,4534,4175,4309,4846,3280,2581,1834,1057,519,2936,3073,3077,3344,2796,2845,3015,3135,4281,5014,4859,4488,4801,5083,3647,2938,2453,1945,1316
Torridge,E07000046,31830,33259,12201,36595,16293,1776,1661,1733,1923,1595,1386,1411,1433,1959,2369,2248,2238,2458,2618,1955,1399,977,478,213,1579,1561,1640,1718,1491,1501,1477,1604,2118,2343,2477,2434,2663,2743,1857,1550,1163,798,542
West Devon,E07000047,26351,27568,9969,30367,13583,1278,1447,1463,1496,1201,1217,1225,1171,1659,2013,2068,1879,1959,2249,1503,1130,803,401,189,1226,1299,1348,1416,1053,1159,1244,1297,1766,2077,2229,2006,2140,2249,1557,1276,1008,710,508
Dorset,E10000009,203458,213263,77318,227148,112255,9979,10606,11488,12691,10421,9336,9031,9600,12710,14609,14638,13354,14166,16144,11755,9748,7162,4114,1906,9525,10036,10618,11233,8629,8723,9177,9874,13300,15348,15164,14499,15711,17493,12850,11058,9315,6337,4373
Christchurch,E07000048,23206,25162,8666,24675,15027,1149,1275,1321,1332,1073,966,1012,1074,1397,1679,1477,1309,1505,1909,1426,1311,1021,625,345,1049,1126,1135,1230,906,1030,1040,1163,1547,1745,1561,1488,1752,2175,1656,1581,1385,934,659
East Dorset,E07000049,42309,45590,15555,46097,26247,1916,2145,2339,2455,1894,1733,1570,1827,2591,2923,3167,2805,3053,3562,2672,2373,1771,1040,473,1913,2049,2192,2225,1740,1517,1725,1964,2837,3260,3298,3118,3396,3983,2921,2707,2154,1582,1009
North Dorset,E07000050,34824,35059,14256,39374,16253,1867,1915,2065,2466,2026,1790,1821,1812,2247,2483,2459,2182,2248,2510,1773,1398,1000,535,227,1777,1857,1914,2049,1445,1652,1688,1830,2277,2513,2456,2290,2501,2611,1930,1510,1283,874,602
Purbeck,E07000051,22401,23010,8380,25284,11747,1110,1180,1235,1406,1230,1018,1017,1126,1359,1540,1736,1496,1536,1820,1251,999,745,397,200,1044,1136,1118,1148,946,986,1039,1071,1452,1677,1674,1609,1775,1876,1372,1147,938,626,376
West Dorset,E07000052,48195,51831,18180,53709,28137,2209,2425,2825,3031,2154,2013,1928,2099,2901,3494,3515,3321,3699,3946,2993,2423,1767,998,454,2128,2267,2548,2835,2023,1875,2011,2271,3037,3791,3791,3719,3979,4401,3323,2671,2378,1573,1210
Weymouth and Portland,E07000053,32523,32611,12281,38009,14844,1728,1666,1703,2001,2044,1816,1683,1662,2215,2490,2284,2241,2125,2397,1640,1244,858,519,207,1614,1601,1711,1746,1569,1663,1674,1575,2150,2362,2384,2275,2308,2447,1648,1442,1177,748,517
Gloucestershire,E10000013,297050,308604,122734,362564,120356,17547,16956,17007,18736,17627,16690,17693,17147,21523,23201,21688,18922,18268,17832,13357,10209,7056,3864,1727,16715,16330,16263,17925,16761,17203,17661,17091,21523,23862,22243,19393,19323,19360,14321,11835,9617,6749,4429
Cheltenham,E07000078,56863,59037,22659,72739,20502,3397,3033,2922,3475,4369,4340,4552,3732,4048,4139,3789,3166,3019,2747,2022,1690,1261,798,364,3207,2948,3018,3755,4377,4379,4213,3419,3755,4184,3787,3264,3111,3142,2398,2071,1768,1326,915
Cotswold,E07000079,40604,43475,15765,48251,20063,2068,2163,2361,2405,2100,1643,1808,2003,2915,3285,3048,2906,2875,2934,2219,1673,1253,641,304,1968,2147,2194,2360,1922,1731,1879,2182,3051,3554,3355,3020,3073,3176,2337,1946,1637,1151,792
Forest of Dean,E07000080,40817,42120,16088,48362,18487,2076,2145,2270,2920,2270,1931,1813,1934,2846,3223,3120,2800,2926,2958,2265,1575,970,554,221,2029,2084,2152,2659,1960,1836,1925,2005,2938,3313,3178,2948,3149,3066,2199,1786,1360,916,617
Gloucester,E07000081,61365,63197,27991,77171,19400,4325,3892,3653,4029,4169,4223,4386,3929,4495,4657,4409,3514,3060,2828,2134,1660,1141,608,253,4317,3742,3462,3786,4113,4530,4449,3801,4428,4806,4242,3516,3229,3154,2320,1894,1588,1123,697
Stroud,E07000082,56184,57736,23285,66775,23860,3095,3348,3439,3576,2676,2511,2781,3139,4243,4545,4292,3941,3771,3685,2698,2021,1398,708,317,2899,3115,3240,3196,2417,2533,2759,3202,4323,4642,4527,3917,3933,3945,2841,2367,1844,1254,782
Tewkesbury,E07000083,41217,43039,16946,49266,18044,2586,2375,2362,2331,2043,2042,2353,2410,2976,3352,3030,2595,2617,2680,2019,1590,1033,555,268,2295,2294,2197,2169,1972,2194,2436,2482,3028,3363,3154,2728,2828,2877,2226,1771,1420,979,626
Somerset,E10000027,262561,275543,108722,308223,121159,14855,14878,15123,17085,14068,14339,13285,12970,17134,19519,19061,17341,17990,18285,13041,10272,7330,4170,1815,14631,14173,14526,15845,13271,14003,13756,14044,18385,20461,19623,17953,18626,19126,14236,11619,9661,6913,4691
Mendip,E07000187,53674,56507,23409,63574,23198,2956,3204,3372,4017,2633,2628,2534,2697,3635,4229,3985,3643,3627,3588,2457,1984,1381,742,362,2981,2986,3105,3556,2514,2702,2723,2948,4067,4499,4241,3738,3763,3762,2712,2223,1808,1313,866
Sedgemoor,E07000188,57571,59973,24167,67927,25450,3388,3267,3353,3737,3102,3094,2895,2760,3801,4414,4295,3864,3929,3991,2833,2166,1467,872,343,3302,3118,3238,3474,3021,3043,3040,3049,4039,4612,4286,3930,4043,4043,3043,2392,1972,1429,899
South Somerset,E07000189,80535,83408,32836,93125,37982,4610,4553,4512,4842,4376,4540,4068,4100,5246,5820,5753,5210,5606,5734,4116,3221,2357,1298,573,4500,4334,4426,4642,3965,4327,4043,4314,5433,5924,5827,5279,5711,6037,4494,3612,2999,2053,1488
Taunton Deane,E07000190,54393,57723,22903,65390,23823,3190,3142,3113,3594,3127,3310,3122,2856,3627,3958,3826,3471,3445,3409,2431,1990,1485,904,393,3100,3047,3019,3359,2987,3158,3232,3099,3903,4246,4018,3668,3676,3621,2746,2335,2021,1479,1009
West Somerset,E07000191,16388,17932,5407,18207,10706,711,712,773,895,830,767,666,557,825,1098,1202,1153,1383,1563,1204,911,640,354,144,748,688,738,814,784,773,718,634,943,1180,1251,1338,1433,1663,1241,1057,861,639,429
WALES,W92000004,1515227,1567185,630211,1851571,600630,91691,88261,86156,98816,111622,95719,90583,83028,100017,107466,103667,93138,93226,92505,67468,51734,34422,18227,7481,87086,84327,81224,93125,106358,93100,90934,84741,104243,112174,107226,97009,96845,96492,73028,60668,47015,31267,20323
Isle of Anglesey,W06000001,34410,35681,13628,39884,16579,2080,1883,1839,1953,1919,1903,1889,1687,2256,2311,2390,2362,2451,2571,1926,1440,895,470,185,1934,1812,1747,1805,1844,1838,1805,1697,2291,2450,2476,2361,2529,2731,2009,1639,1245,876,592
Gwynedd,W06000002,60224,61687,23595,71644,26672,3421,3344,3271,3953,5302,3496,3211,2979,3627,3993,3946,3760,3813,4130,2950,2299,1517,875,337,3269,3256,3033,3949,5092,2972,3019,2907,3897,4082,3983,3779,3885,4099,3098,2579,2293,1515,980
Conwy,W06000003,56187,59648,21787,64291,29757,2985,3049,2985,3480,2979,2949,2757,2587,3601,3954,4033,3664,3831,4214,3233,2563,1815,1036,472,2888,2784,2933,3160,2780,2807,2752,2708,3737,4358,4262,3934,4121,4351,3470,3098,2538,1802,1165
Denbighshire,W06000004,46544,47966,19366,53955,21189,2780,2749,2736,3001,2750,2523,2187,2221,2950,3339,3367,2917,3224,3292,2471,1836,1257,653,291,2645,2483,2445,2710,2646,2379,2312,2561,3147,3501,3390,3055,3303,3478,2509,2063,1620,1031,688
Flintshire,W06000005,75485,77755,32224,91675,29341,4585,4577,4379,4745,4500,4608,4309,4219,5481,5695,5387,4550,4865,4918,3461,2532,1569,766,339,4385,4462,4193,4460,4186,4394,4404,4319,5790,6082,5459,4799,5066,5136,3631,2851,2056,1233,849
Wrexham,W06000006,68021,68378,29379,82196,24824,4596,4250,3900,4175,4248,4464,4496,4016,4867,4905,4501,4104,4034,4004,2910,2118,1392,754,287,4316,4023,3557,3597,3982,4390,4337,3875,4974,4978,4542,4262,4186,4084,2992,2340,1906,1240,797
Powys,W06000023,65654,67051,25469,74518,32718,3249,3504,3742,4128,3463,3295,2806,3016,4108,4740,4847,4479,4930,5192,3806,2916,1943,1059,431,3172,3310,3495,3684,3031,2889,2943,3154,4306,4941,4874,4821,5060,5108,3851,3097,2485,1684,1146
Ceredigion,W06000008,38094,37870,12548,46690,16726,1699,1774,1841,3088,5394,1657,1683,1655,1960,2284,2340,2402,2505,2674,1911,1460,981,548,238,1662,1647,1685,2697,4495,1552,1605,1579,2077,2400,2495,2453,2609,2691,1919,1581,1238,918,567
Pembrokeshire,W06000009,60413,62848,24883,69628,28750,3359,3502,3522,3865,3491,3314,3036,2774,3564,4216,4354,3953,4213,4453,3292,2552,1677,869,407,3339,3281,3249,3500,3276,3014,3011,3043,4016,4409,4498,4174,4538,4672,3442,2792,2201,1446,947
Carmarthenshire,W06000010,90343,94338,37368,106741,40572,5134,5300,5307,5798,5285,5069,4565,4539,5703,6478,6225,6026,6126,6310,4745,3559,2400,1278,496,5053,4944,4853,5276,5142,5052,5043,4829,5982,6816,6833,6424,6307,6451,4794,3944,3036,2170,1389
Swansea,W06000011,119221,121111,47008,147963,45361,6995,6652,6621,7936,11643,8176,7581,6873,7648,8123,7584,6818,6659,6452,4795,3908,2703,1450,604,6267,6239,6108,7274,9944,7408,7189,6645,7937,8177,7858,7532,7084,7284,5576,4789,3795,2430,1575
Neath Port Talbot,W06000012,68481,71417,27835,84519,27544,3963,3814,3866,4275,4084,4247,4485,3997,4537,4983,4873,4562,4481,4210,3080,2384,1529,795,316,3704,3806,3613,4020,3883,4278,4295,4076,4722,5232,5223,4692,4643,4447,3359,2776,2232,1446,970
Bridgend,W06000013,69345,71135,29030,84844,26606,4233,4048,4017,4483,4113,4390,4491,4029,4970,5318,4872,4266,4212,4066,3083,2243,1461,757,293,3835,3784,3879,3944,3951,4206,4200,4101,5176,5400,5120,4379,4457,4343,3448,2807,2068,1248,789
The Vale of Glamorgan,W06000014,61857,65302,27046,75146,24967,3730,3732,3827,4021,3669,3663,3619,3650,4168,4427,4530,3950,3856,3766,2729,2049,1423,748,300,3552,3674,3556,3879,3313,3296,3614,3766,4623,4878,4779,4358,4062,4168,3085,2504,1964,1314,917
Cardiff,W06000015,172710,179000,72441,231443,47826,11856,10025,9143,11781,20042,15216,13718,11210,11050,10704,10298,9013,8038,6816,4766,3932,2804,1591,707,11188,9953,8647,12166,20935,14577,13132,10978,10835,11335,10796,9086,8162,7271,5715,5259,4270,2891,1804
Rhondda Cynon Taf,W06000016,115591,120523,50037,143235,42842,7437,7032,6526,7398,8571,7508,7188,6464,8003,8401,7737,7001,6940,6949,4847,3668,2287,1214,420,7217,6720,6494,7106,8201,7774,7610,6716,8352,8589,8001,7141,7145,7090,5306,4413,3165,2162,1321
Merthyr Tydfil,W06000024,28867,30154,12508,36181,10332,1858,1780,1703,1806,1937,2033,1849,1531,1905,2112,2070,1825,1763,1581,1222,923,584,255,130,1798,1604,1588,1806,1941,2173,1955,1598,2017,2225,2160,1808,1844,1688,1257,1055,811,491,335
Caerphilly,W06000018,87818,91429,38984,108432,31831,5554,5536,5405,5727,5451,5413,5515,5120,6176,6596,6102,5426,5330,5189,3737,2701,1741,821,278,5333,5261,4999,5504,5340,5890,5928,5283,6565,6645,6104,5600,5613,5387,4071,3316,2241,1449,900
Blaenau Gwent,W06000019,34318,35471,14073,42630,13086,2110,1907,1830,2164,2356,2212,2036,1896,2507,2610,2434,2099,2118,2108,1593,1140,740,316,142,1913,1924,1811,2199,2351,2347,2146,1852,2460,2702,2532,2093,2094,2086,1704,1304,925,633,395
Torfaen,W06000020,44515,46892,19427,54625,17355,2784,2709,2579,3054,2905,2724,2598,2281,2981,3272,3255,2862,2739,2718,1877,1441,995,505,236,2665,2575,2492,2972,2788,2976,2720,2545,3077,3421,3274,2883,2921,2755,2138,1794,1377,942,577
Monmouthshire,W06000021,45250,46850,18355,53070,20675,2325,2513,2668,3121,2346,2037,1999,2099,3075,3747,3525,3097,3235,3186,2299,1798,1260,658,262,2228,2366,2591,2743,2036,1889,2135,2308,3241,3949,3542,3303,3307,3248,2489,2054,1555,1108,758
Newport,W06000022,71879,74679,33220,88261,25077,4958,4581,4449,4864,5174,4822,4565,4185,4880,5258,4997,4002,3863,3706,2735,2272,1449,809,310,4723,4419,4256,4674,5201,4999,4779,4201,5021,5604,5025,4072,3909,3924,3165,2613,1994,1238,862
SCOTLAND,S92000003,2586532,2741168,1035394,3345444,946862,150283,144614,140628,161435,183938,173654,166938,154264,181331,198015,191861,169324,155019,143570,103378,80235,52254,25481,10310,143998,137990,134492,154159,185009,177680,173636,159915,192908,209799,200590,177050,162308,153766,121522,103338,78072,47561,27375
Aberdeen City,S12000033,112537,114593,37374,156043,33713,6296,5017,4686,6071,11637,11467,9995,7694,7505,7492,7416,6790,5945,4846,3422,2873,1978,1025,382,6004,4913,4358,6339,12434,10952,9062,6896,7206,7477,7448,6539,5778,5133,4172,3760,3137,1919,1066
